"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159489,424,936,3211,0
2.1,159213,615,461,3213,0
3.1,159137,702,253,3211,0
4.1,159081,735,325,3208,0
5.1,158983,771,683,3210,0
6.1,159050,819,1296,3207,1
7.1,159101,944,1952,3211,1
8.1,159097,1142,2568,3213,1
9.1,159099,1429,3082,3212,2
10.1,159091,1800,3448,3213,2
11.1,159072,2180,3935,3217,2
12.1,159091,2603,4501,3218,2
13.1,159045,3045,5358,3218,3
14.1,159052,3535,6536,3229,5
15.1,159082,4081,7944,3226,7
16.1,159070,4693,9750,3226,8
17.1,159064,5403,11801,3245,12
18.1,159081,6258,14067,3240,14
19.1,159032,7187,16615,3245,14
20.1,159060,8227,19609,3265,19
21.1,159015,9440,22886,3278,23
22.1,159055,10678,26808,3292,26
23.1,158986,11990,31209,3319,28
24.1,158868,13402,36100,3367,31
25.1,158647,14773,41357,3416,40
26.1,158471,16320,47140,3485,54
27.1,158417,18019,53547,3536,63
28.1,158360,19848,60764,3602,72
29.1,158314,21887,68560,3702,82
30.1,158189,23956,77493,3859,105
31.1,158007,25994,86942,4045,121
32.1,157791,28088,97069,4251,146
33.1,157459,30308,107660,4531,176
34.1,157040,32531,118351,4817,211
35.1,156588,34630,129650,5185,268
36.1,156088,36800,141720,5593,324
37.1,155620,39053,153889,6061,392
38.1,154969,41220,166779,6643,469
39.1,154275,43443,179816,7303,590
40.1,153446,45491,192643,8064,730
41.1,152511,47557,205539,9000,922
42.1,151419,49493,218667,10049,1154
43.1,150262,51290,231511,11283,1442
44.1,148802,52927,243361,12830,1805
45.1,147211,54322,255058,14621,2280
46.1,145452,55559,266164,16699,2891
47.1,143499,56561,275797,19199,3627
48.1,141348,57359,284995,22099,4558
49.1,138840,57788,292531,25387,5793
50.1,135975,57893,298452,29170,7335
51.1,132790,57566,302177,33492,9201
52.1,129412,56905,304178,38348,11449
53.1,125566,55791,303526,43872,14156
54.1,121290,54152,301140,49877,17415
55.1,116563,51977,295262,56246,21262
56.1,111416,49292,286006,62905,25646
57.1,105993,46150,274376,69678,30662
58.1,100429,42738,259546,76449,36019
59.1,94852,39210,242611,83024,41685
60.1,89356,35526,223634,89293,47491
61.1,84030,31758,203114,94975,53431
62.1,78946,28140,182041,100265,59291
