"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159419,399,947,3207,0
2.1,159166,568,468,3209,0
3.1,159077,651,276,3214,0
4.1,158988,685,350,3210,0
5.1,159002,712,725,3211,0
6.1,158968,775,1296,3209,1
7.1,159001,913,1956,3215,3
8.1,159019,1109,2480,3208,3
9.1,159061,1393,2932,3212,3
10.1,159049,1705,3376,3210,3
11.1,159085,2078,3867,3215,4
12.1,159119,2488,4490,3230,4
13.1,159137,2920,5271,3219,4
14.1,159121,3375,6431,3218,5
15.1,159103,3933,7818,3223,5
16.1,159112,4516,9563,3219,6
17.1,159092,5203,11564,3232,7
18.1,159083,6041,13741,3239,10
19.1,159101,6978,16109,3243,12
20.1,159096,8041,18866,3245,17
21.1,159077,9111,22130,3252,22
22.1,159047,10262,25796,3279,27
23.1,159046,11541,29947,3310,35
24.1,158891,12799,34856,3347,44
25.1,158715,14236,39755,3407,50
26.1,158582,15660,45223,3463,58
27.1,158441,17347,51267,3516,67
28.1,158452,19043,58100,3617,77
29.1,158392,20954,65756,3727,86
30.1,158262,22866,74082,3851,100
31.1,158087,24891,82963,4004,119
32.1,157820,26903,92512,4159,141
33.1,157483,28905,102413,4376,176
34.1,157107,30880,113050,4618,211
35.1,156724,32967,123821,4905,252
36.1,156274,35061,134933,5274,304
37.1,155716,37162,146466,5671,377
38.1,155164,39242,158461,6166,446
39.1,154540,41219,170494,6745,550
40.1,153721,43194,182693,7466,688
41.1,152820,45075,194812,8299,845
42.1,151759,46869,206533,9193,1027
43.1,150556,48544,218123,10252,1271
44.1,149273,49998,229260,11506,1552
45.1,147881,51463,239857,12988,1938
46.1,146281,52729,249755,14737,2422
47.1,144518,53901,258996,16732,3019
48.1,142548,54631,267116,19100,3813
49.1,140255,55152,273189,21857,4820
50.1,137687,55408,278409,25008,6051
51.1,134879,55334,282033,28632,7563
52.1,131829,54948,284038,32659,9402
53.1,128493,54334,282775,37115,11590
54.1,124732,53045,280496,41998,14244
55.1,120698,51422,275556,47229,17344
56.1,116287,49298,267790,52958,20914
57.1,111615,46793,257152,58790,24923
58.1,106717,43999,244538,64730,29462
59.1,101646,40900,229370,70645,34343
60.1,96524,37616,212839,76440,39456
61.1,91517,34325,195329,82020,44668
62.1,86743,31074,176781,87119,49925
63.1,82167,27794,158171,91922,55145
64.1,77986,24768,140315,96248,59991
65.1,74113,21911,122939,100106,64731
66.1,70779,19414,106502,103375,69158
67.1,67849,17214,91947,106341,73240
68.1,65292,15103,78540,108956,77068
69.1,63080,13325,67354,111213,80529
70.1,61231,11797,57217,113129,83681
71.1,59710,10445,48361,114783,86476
72.1,58389,9272,40487,116188,89108
73.1,57523,8281,34360,117430,91399
74.1,56934,7446,29251,118514,93398
75.1,56424,6741,25132,119433,95351
76.1,56140,6070,21494,120250,97102
77.1,56005,5475,18552,120910,98627
78.1,55982,4916,15864,121398,100058
79.1,56141,4517,13834,121881,101302
80.1,56404,4133,11997,122219,102506
81.1,56870,3886,10558,122484,103530
82.1,57308,3574,9253,122653,104563
83.1,57962,3306,8282,122715,105485
84.1,58605,3045,7371,122697,106371
85.1,59252,2827,6673,122581,107183
86.1,60033,2602,6029,122348,107945
87.1,60917,2401,5543,122000,108640
88.1,61747,2190,5075,121554,109350
89.1,62703,2061,4598,120939,109907
90.1,63656,1912,4194,120205,110466
91.1,64774,1807,3755,119174,110953
92.1,65748,1675,3480,117938,111475
93.1,66796,1516,3165,116576,111940
94.1,67860,1435,2905,114879,112350
95.1,68991,1373,2672,112934,112726
96.1,70099,1298,2519,110698,113086
97.1,71195,1255,2301,108017,113403
98.1,72284,1158,2165,104962,113761
99.1,73400,1054,2067,101749,114092
100.1,74542,997,1946,97954,114389
101.1,75744,926,1832,93783,114666
102.1,76913,906,1704,89348,114913
103.1,78107,884,1573,84551,115133
104.1,79240,808,1534,79464,115384
105.1,80424,744,1454,73968,115615
106.1,81583,693,1283,68451,115834
107.1,82790,665,1184,62959,116018
108.1,83863,633,1083,57497,116195
109.1,85041,603,1047,52162,116340
110.1,86274,580,1030,47103,116496
111.1,87423,538,1009,42216,116648
112.1,88603,516,1003,37788,116807
113.1,89694,503,936,33769,116947
114.1,90896,465,878,30032,117084
115.1,92113,457,836,26764,117196
116.1,93224,438,817,23908,117336
117.1,94402,433,819,21238,117440
118.1,95536,420,798,18857,117561
119.1,96678,432,755,16882,117668
120.1,97757,410,741,15057,117770
121.1,98841,394,685,13515,117887
122.1,99953,371,651,12216,117995
123.1,101106,384,600,10985,118085
124.1,102203,365,584,9859,118192
125.1,103340,347,576,8856,118282
126.1,104399,323,569,8041,118403
127.1,105485,302,513,7285,118492
128.1,106524,293,474,6642,118583
129.1,107549,267,464,6020,118666
130.1,108671,254,428,5498,118737
131.1,109746,244,391,5017,118805
132.1,110769,245,390,4622,118873
133.1,111724,248,384,4277,118934
134.1,112750,258,410,4009,118988
135.1,113815,248,427,3791,119045
136.1,114858,251,423,3622,119109
