"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Innate Immune Cells"
0.1,10000,0,100,160,80
1.1,9965,22,40,160,80
2.1,9951,29,20,160,80
3.1,9945,30,16,160,80
4.1,9934,31,16,160,80
5.1,9934,35,23,160,80
6.1,9928,36,37,160,81
7.1,9928,40,46,160,82
8.1,9945,48,54,160,82
9.1,9942,56,67,160,82
10.1,9941,65,76,160,82
11.1,9944,73,81,160,83
12.1,9931,83,95,160,84
13.1,9936,99,115,160,84
14.1,9940,109,149,160,85
15.1,9940,128,163,160,86
16.1,9943,151,173,160,87
17.1,9942,169,204,160,88
18.1,9942,193,240,160,89
19.1,9952,212,281,160,90
20.1,9953,238,320,160,91
21.1,9943,271,364,160,93
22.1,9942,301,413,160,94
23.1,9934,337,482,160,95
24.1,9922,373,544,160,97
25.1,9909,395,608,160,102
26.1,9911,427,663,160,109
27.1,9920,471,733,160,115
28.1,9916,524,815,160,118
29.1,9904,571,901,160,121
30.1,9920,622,972,160,127
31.1,9920,667,1065,160,131
32.1,9899,719,1192,160,136
33.1,9905,782,1359,160,139
34.1,9898,853,1517,160,148
35.1,9879,905,1655,160,160
36.1,9856,972,1773,160,167
37.1,9859,1038,1938,160,175
38.1,9844,1116,2073,160,188
39.1,9810,1177,2234,160,206
40.1,9800,1239,2405,160,225
41.1,9766,1307,2574,160,249
42.1,9745,1371,2759,160,273
43.1,9697,1430,2945,160,297
44.1,9682,1498,3144,160,334
45.1,9629,1540,3301,160,373
46.1,9582,1626,3420,160,416
47.1,9545,1677,3572,160,461
48.1,9484,1731,3736,160,514
49.1,9410,1756,3885,160,590
50.1,9346,1781,4008,160,660
51.1,9262,1804,4094,160,754
52.1,9174,1831,4227,160,852
53.1,9069,1828,4297,160,965
54.1,8971,1837,4308,160,1093
55.1,8855,1850,4320,160,1220
56.1,8756,1849,4323,160,1361
57.1,8651,1848,4278,160,1511
58.1,8507,1785,4233,160,1697
59.1,8383,1764,4206,160,1865
60.1,8279,1748,4140,160,2042
61.1,8128,1679,4090,160,2247
62.1,7972,1627,3870,160,2461
63.1,7842,1578,3793,160,2647
64.1,7690,1495,3623,160,2872
65.1,7547,1420,3424,160,3093
