"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,16000,0,177280
1.1,159417,272,583,622,16036,0,176658
2.1,159132,396,868,316,16041,0,176357
3.1,159004,457,996,168,16052,0,176220
4.1,159009,493,991,179,16050,0,176229
5.1,159026,523,974,281,16050,0,176331
6.1,158979,572,1021,516,16057,1,176574
7.1,158921,666,1079,878,16052,2,176932
8.1,158973,780,1027,1300,16071,2,177373
9.1,158991,969,1009,1924,16075,3,178002
10.1,158958,1265,1042,2490,16076,4,178570
11.1,158927,1603,1073,3079,16078,7,179164
12.1,158982,2027,1018,3661,16061,10,179732
13.1,158982,2493,1018,4363,16063,11,180437
14.1,158973,2952,1027,5179,16085,15,181279
15.1,158953,3510,1047,6144,16063,24,182231
16.1,158954,4128,1046,7593,16078,28,183699
17.1,158984,4828,1016,9437,16106,37,185580
18.1,159019,5539,981,11893,16111,43,188047
19.1,158999,6406,1001,14751,16144,49,190944
20.1,158989,7388,1011,17875,16147,58,194080
21.1,158976,8437,1024,21476,16201,66,197743
22.1,158945,9539,1055,25950,16260,81,202291
23.1,158843,10737,1157,30675,16340,90,207105
24.1,158756,11992,1244,35949,16411,105,212465
25.1,158577,13194,1423,41762,16513,122,218397
26.1,158439,14541,1561,48596,16692,150,225438
27.1,158316,15969,1684,55827,16968,179,232974
28.1,158188,17495,1812,63931,17200,220,241351
29.1,158089,19133,1911,72682,17539,265,250486
30.1,157960,20719,2040,82207,17989,331,260527
31.1,157790,22370,2210,91984,18486,402,270872
32.1,157555,24079,2445,102950,19086,478,282514
33.1,157157,25695,2843,113943,19805,573,294321
34.1,156742,27338,3258,125713,20641,684,307038
35.1,156231,28907,3769,137478,21668,831,319977
36.1,155601,30386,4399,149904,22854,1007,333765
37.1,154964,31875,5036,161609,24289,1211,347109
38.1,154170,33342,5830,173513,25868,1473,360854
39.1,153264,34666,6736,185091,27730,1782,374603
40.1,152242,36029,7758,196529,29749,2154,388432
41.1,151085,37222,8915,207264,32125,2611,402000
42.1,149799,38380,10201,217334,34773,3148,415255
43.1,148309,39326,11691,225686,37783,3822,427291
44.1,146663,40068,13337,233295,41060,4621,438976
45.1,144824,40572,15176,239467,44687,5568,449722
46.1,142949,41020,17051,244567,48638,6671,459876
47.1,140786,41295,19214,248788,52984,7946,469718
48.1,138413,41303,21587,251459,57751,9434,478644
49.1,135892,41127,24108,252063,62825,11173,486061
50.1,133111,40659,26889,250831,68299,13166,492296
51.1,130106,39981,29894,247869,74110,15289,497268
52.1,126979,39031,33021,242770,79957,17743,500470
53.1,123676,38007,36324,235993,86011,20451,502455
54.1,120189,36625,39811,227500,92347,23315,503162
55.1,116642,35191,43358,217583,98579,26399,502561
56.1,113174,33673,46826,206263,104743,29611,500617
57.1,109655,32069,50345,194621,110768,32941,498330
58.1,106192,30380,53808,182592,116585,36420,495597
59.1,102837,28772,57163,170398,122075,39856,492329
60.1,99533,27079,60467,157241,127424,43246,487911
61.1,96418,25485,63582,144862,132446,46683,483991
62.1,93377,23966,66623,132363,137167,50084,479614
63.1,90525,22507,69475,120469,141569,53361,475399
64.1,87848,21026,72152,109867,145781,56618,472266
65.1,85318,19734,74682,99706,149546,59742,468994
66.1,82918,18485,77082,89395,152966,62802,465163
67.1,80772,17307,79228,80539,156228,65752,462519
68.1,78694,16161,81306,72187,159022,68636,459845
69.1,76816,15120,83184,64534,161674,71430,457638
70.1,75084,14108,84916,57651,163960,74045,455656
71.1,73495,13206,86505,52173,166123,76535,454831
72.1,72106,12416,87894,46761,167988,78889,453638
73.1,70825,11739,89175,42186,169774,81186,453146
74.1,69755,11068,90245,38165,171165,83379,452709
75.1,68743,10423,91257,34723,172548,85406,452677
76.1,67856,9915,92144,31798,173760,87417,452975
77.1,67071,9412,92929,29347,174808,89354,453509
78.1,66443,8958,93557,26569,175644,91173,453386
79.1,65942,8564,94058,24100,176425,92800,453325
80.1,65443,8078,94557,22049,176920,94437,453406
81.1,65098,7719,94902,20188,177190,96045,453423
82.1,64768,7314,95232,18303,177374,97621,453298
83.1,64593,6945,95407,16885,177314,99063,453262
84.1,64409,6546,95591,15791,177075,100495,453361
85.1,64229,6196,95771,14587,176569,101812,452968
86.1,64280,5865,95720,13288,175812,103090,452190
87.1,64410,5591,95590,12429,174806,104283,451518
88.1,64666,5401,95334,11519,173518,105357,450394
89.1,64835,5195,95165,10822,172090,106505,449417
90.1,65252,5096,94748,10296,170330,107503,448129
91.1,65547,4845,94453,9666,168265,108549,446480
92.1,65846,4641,94154,9144,165906,109562,444612
93.1,66264,4414,93736,8753,163062,110546,442361
94.1,66715,4210,93285,8288,159931,111498,439717
95.1,67204,4014,92796,8013,156419,112443,436875
96.1,67736,3845,92264,7519,152584,113306,433409
97.1,68313,3715,91687,7072,148362,114116,429550
98.1,69037,3653,90963,6706,143751,114877,425334
